Dam_Name,ShortID,NID,GRAND_ID,IsSite,IsUSBR,IsUSACE,IsGRanD,State,OwnerTypes,PrimaryPur,PrimDamTyp,Reservoir,Year_First,Year_Last,Owner,RES_SED_No,CapOrig_m3,CapNew_m3,site_DA_km,IsRiverMth,delta,IsLock,yr_p,Capm3_p,USBRname,yrc,yrr,yrc_source,OCapm3_Rem,Batch_for,NIDStor_m3,GRanDCapm3,MaxStor_m3,StorSource,Dam_Len_m,SA_m2,DA_km2,MaxQ_m3s,DamH_m,elev_m,NrX_Final,NrY_Final,COMID,LENGTHKM,Hydroseq,Pathlength,DivDASqKM,SLOPE,QA_MA,VA_MA,QC_MA,VC_MA,QE_MA,VE_MA,WBCOMID,Moved,D50_mm_,FromDam,ToDam,flag,flagDA,flagTerm,flagHW,countryOut,SiteTag,GRanDTag,RiverTag,DeltaTag,PermStorag
Mica Dam,500000,CAN1,250,0,0,0,1,CAN,null,Hydroelectric,null,Kinbasket Lake,NaN,NaN,BP Hydro,null,0,0,NaN,0,0,1,0,0,NaN,1972,0,GRanD,0,,0,25000000000,25000000000,GRanD,792,430000,0,0,243,NaN,-118.56645,52.07783,0,0,1,0,20976,0,0,0,0,0,0,0,0,0,0,[],500001,[],0,0,1,42,121155,500001,-3,25,1
Revelstoke Dam,500001,CAN2,257,0,0,0,1,CAN,null,Hydroelectric,null,Revelstoke Lake,NaN,NaN,BP Hydro,null,0,0,NaN,0,0,1,0,0,NaN,1983,0,GRanD,0,,0,5180000000,5180000000,GRanD,470,115000,0,0,175,NaN,-118.19324,51.04962,0,0,2,0,26205,0,0,0,0,0,0,0,0,0,0,[500000 0],500002,0,0,0,0,42,121155,500002,-3,25,1
Keenleyside Dam,500002,CAN3,282,0,0,0,1,CAN,null,null,null,Arrow Lake,NaN,NaN,BP Hydro,null,0,0,NaN,0,0,1,0,0,NaN,1968,0,GRanD,0,,0,11300000000,11300000000,GRanD,869,428300,0,0,53,NaN,-117.77206,49.33877,0,0,3,0,36413,0,0,0,0,0,0,0,0,0,0,500001,117548,0,0,0,0,42,121155,117548,-3,25,1
Corra Linn Dam,500003,CAN4,279,0,0,0,1,CAN,null,null,null,Kootenay,NaN,NaN,Consolidated Mining & Smelting Co.,null,0,0,NaN,0,0,0,0,0,NaN,1932,0,GRanD,0,,0,1010000000,1010000000,GRanD,518,412100,0,0,21,NaN,-117.46713,49.46776,0,0,4,0,46402,0,0,0,0,0,0,0,0,0,0,78196,500004,0,0,0,0,42,121155,500004,-3,25,1
Brilliant Dam,500004,CAN5,282,0,0,0,1,CAN,null,null,null,null,NaN,NaN,null,null,0,0,NaN,0,0,0,0,0,NaN,1944,0,GRanD,0,,0,43800000,43800000,GRanD,190,0,0,0,,NaN,-117.6183,49.3261,0,0,5,0,50031,0,0,0,0,0,0,0,0,0,0,500003,117548,0,0,0,0,42,121155,117548,-3,25,1
Seven Mile,500005,CAN6,287,0,0,0,1,CAN,null,null,null,null,NaN,NaN,null,null,0,0,NaN,0,0,0,0,0,NaN,1975,0,GRanD,0,,0,104000000,104000000,GRanD,347,0,0,,80,NaN,-117.50104,49.03127,0,0,6,0,66938,0,0,0,0,0,0,0,0,0,0,117361,500006,0,0,0,0,42,121155,500006,-3,25,1
Waneta,500006,CAN7,288,0,0,0,1,CAN,null,null,null,null,NaN,NaN,null,null,0,0,NaN,0,0,0,0,0,NaN,1954,0,GRanD,0,,0,37600000,37600000,GRanD,290,0,0,0,76,NaN,-117.61129,49.00476,0,0,7,0,67055,0,0,0,0,0,0,0,0,0,0,500005,117548,0,0,0,0,42,121155,117548,-3,25,1
Duncan,500007,CAN8,268,0,0,0,1,CAN,null,null,null,null,NaN,NaN,null,null,0,0,NaN,0,0,0,0,0,NaN,1967,0,GRanD,0,,0,1730000000,1730000000,GRanD,792,0,0,0,39,NaN,-116.94366,50.25218,0,0,8,0,2432,0,0,0,0,0,0,0,0,0,0,[],500003,0,0,0,1,42,121155,500003,-3,25,1
