Dam_Name,ShortID,NID,GRanD_ID,IsSite,IsUSBR,IsUSACE,IsGRanD,State,OwnerTypes,PrimaryPur,IsLock,yrc,yrr,yrc_source,MaxStor_m3,StorSource,Dam_Len_m,DamH_m,Longitude,Latitude,COMID,Hydroseq,DivDASqKM,Moved,FromDam,ToDam,flag,flagTerm,flagHW,countryOut,SiteTag,GRanDTag,RiverTag,DeltaTag
Mica Dam,500000,CAN1,250,0,0,0,1,CAN,null,Hydroelectric,1,1972,0,GRanD,25000000000,GRanD,792,243,-118.56645,52.07783,0,,20976,0,,500001,0,0,1,42,121155,500001,-3,25
Revelstoke Dam,500001,CAN2,257,0,0,0,1,CAN,null,Hydroelectric,1,1983,0,GRanD,5180000000,GRanD,470,175,-118.19324,51.04962,0,,26205,0,"[500000.0, 0]",500002,0,0,0,42,121155,500002,-3,25
Keenleyside Dam,500002,CAN3,282,0,0,0,1,CAN,null,null,1,1968,0,GRanD,11300000000,GRanD,869,53,-117.77206,49.33877,0,,36413,0,500001,117548,0,0,0,42,121155,117548,-3,25
Corra Linn Dam,500003,CAN4,279,0,0,0,1,CAN,null,null,0,1932,0,GRanD,1010000000,GRanD,518,21,-117.46713,49.46776,0,,46402,0,78196,500004,0,0,0,42,121155,500004,-3,25
Brilliant Dam,500004,CAN5,282,0,0,0,1,CAN,null,null,0,1944,0,GRanD,43800000,GRanD,190,,-117.6183,49.3261,0,,50031,0,500003,117548,0,0,0,42,121155,117548,-3,25
Seven Mile,500005,CAN6,287,0,0,0,1,CAN,null,null,0,1975,0,GRanD,104000000,GRanD,347,80,-117.50104,49.03127,0,,66938,0,117361,500006,0,0,0,42,121155,500006,-3,25
Waneta,500006,CAN7,288,0,0,0,1,CAN,null,null,0,1954,0,GRanD,37600000,GRanD,290,76,-117.61129,49.00476,0,,67055,0,500005,117548,0,0,0,42,121155,117548,-3,25
Duncan,500007,CAN8,268,0,0,0,1,CAN,null,null,0,1967,0,GRanD,1730000000,GRanD,792,39,-116.94366,50.25218,0,,2432,0,,500003,0,0,1,42,121155,500003,-3,25
