Dam_Name,ShortID,NID,GRanD_ID,IsSite,IsUSBR,IsUSACE,IsGRanD,State,OwnerTypes,PrimaryPur,IsRiverMth,delta,IsLock,yrc,yrr,yrc_source,MaxStor_m3,StorSource,Dam_Len_m,DamH_m,Longitude,Latitude,COMID,Hydroseq,DivDASqKM,Moved,FromDam,ToDam,flag,flagTerm,flagHW,countryOut,SiteTag,GRanDTag,RiverTag,DeltaTag
Murder Creek Dam,341699.0,NY00478,,0.0,0.0,0.0,0.0,New York,Local Government,Recreation,0.0,0.0,0.0,1927.0,,NID,339207.0,NID,121.92,3.048,-78.4951829052,43.0163217946,15567953,90013933.0,135.73,0.0,[np.float64(342037.0)],,[10],1,0,2,0,0,0,0
Thendara Dam,342669.0,NY01631,,0.0,0.0,0.0,0.0,New York,Local Government,Recreation,0.0,0.0,0.0,1980.0,,NID,261497.76,NID,43.2816,3.6576,-75.0124533273,43.6887085989,15514960,90013945.0,351.107,0.0,[np.float64(90368.0)],342748.0,[0],0,0,2,0,0,-121,0
Chateaugay High Fall,342797.0,NY13001,,0.0,0.0,0.0,0.0,New York,Not Listed,Hydroelectric,0.0,0.0,0.0,1906.0,,NID,41938.32,NID,26.8224,19.2024,-74.0867494724,44.9089037853,15448926,90013965.0,297.864,0.0,[np.float64(341753.0)],341696.0,[0],0,0,11,0,0,0,0
Sharon Mills Dam,9763.0,MI00328,,1.0,0.0,0.0,0.0,Michigan,Local Government,Recreation,0.0,0.0,0.0,1927.0,0.0,"RESSED, https://water.usgs.gov/osw/ressed/",318238.0,"RESSED, https://water.usgs.gov/osw/ressed/",111.252,3.048,-84.0934439596,42.1766972188,13227758,90013968.0,325.472,1.0,[np.float64(9755.0)],120958.0,[0],0,0,2,120958,0,0,0
Loon Lake Dam,316197.0,MI00245,,0.0,0.0,0.0,0.0,Michigan,Private,Recreation,0.0,0.0,0.0,1936.0,,NID,4687224.0,NID,60.96,2.4384,-83.3763238326,42.6749715846,13184222,90013974.0,193.105,1.0,[np.float64(316194.0)],316604.0,[0],0,0,2,0,0,0,0
Beaverton,316431.0,MI00524,,0.0,0.0,0.0,0.0,Michigan,Local Government,Hydroelectric,0.0,0.0,0.0,1919.0,,NID,2948017.2,NID,67.056,6.096,-84.4837855793,43.8838705986,13048035,90013984.0,1103.815,0.0,"[np.float64(316870.0), np.float64(316051.0), np.float64(316936.0), np.float64(316039.0), np.float64(316547.0), np.float64(316515.0), np.float64(316432.0)]",64828.0,[0],0,0,2,0,64828,-117,0
Secord Dam,64826.0,MI00547,1496.0,0.0,0.0,0.0,1.0,Michigan,Local Government,Hydroelectric,0.0,0.0,0.0,1925.0,,NID,62907480.0,NID,335.28,17.3736,-84.3418210337,44.0411714966,13046223,90013985.0,485.644,0.0,[np.float64(316120.0)],316452.0,[0],0,0,2,0,64829,-117,0
Lake Isabella Dam,316357.0,MI00434,,0.0,0.0,0.0,0.0,Michigan,Private,Recreation,0.0,0.0,0.0,1967.0,,NID,16651980.0,NID,917.448,12.4968,-84.9928793785,43.6534609322,13039334,90013987.0,530.089,0.0,"[np.float64(316589.0), np.float64(316167.0)]",316103.0,[0],0,0,2,0,0,-117,0
Van Etten Lake Dam,316620.0,MI00737,,0.0,0.0,0.0,0.0,Michigan,Private,Recreation,0.0,0.0,0.0,1947.0,,NID,6216739.2,NID,45.72,2.7432,-83.3399711144,44.448591331,12954006,90014000.0,729.435,0.0,"[np.float64(316892.0), np.float64(316917.0), np.float64(316696.0)]",-116.0,[0],0,0,2,0,0,-116,0
Skaneateles Creek Dam,342964.0,NY14989,,0.0,0.0,0.0,0.0,New York,Local Government,Other,0.0,0.0,0.0,0.0,,,61674.0,NID,30.48,6.7056,-76.4724041917,43.0658837332,21974979,90014146.0,240.809,0.0,[np.float64(90452.0)],341956.0,[0],0,0,2,0,90751,-120,0
